,0
0,Colorado
1,Connecticut
2,Delaware
3,Illinois
4,Indiana
5,Iowa
6,Michigan
7,Mississippi
8,Missouri
9,Montana
10,Nebraska
11,New Hampshire
12,New Jersey
13,Oklahoma
14,Oregon
15,Utah
16,Vermont
17,Washington
